# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-ERAD-475
# Selected columns: 18 (all)
# Timestamp: Wed, 05-Aug-2020 16:22:51
Gene ID	Gene Name	zygote	cleavage 2-cell	blastula 128-cell	blastula 1k-cell	blastula dome	gastrula 50%-epiboly	gastrula shield	gastrula 75%-epiboly	segmentation 1-4 somites	segmentation 14-19 somites	segmentation 20-25 somites	pharyngula prim-5	pharyngula prim-15	pharyngula prim-25	hatching long-pec	larval protruding mouth	larval day 4	larval day 5
ENSDARG00000042259	tgfbr1b			0.5		1.0	4.0	4.0	9.0	8.0	5.0	8.0	12.0	16.0	18.0	9.0	5.0	8.0	7.0
ENSDARG00000042261	cdan1	1.0	2.0	7.0	9.0	7.0	4.0	6.0	7.0	12.0	9.0	8.0	6.0	4.0	6.0	3.0	1.0	3.0	2.0
ENSDARG00000042270	arsa	3.0	7.0	20.0	15.0	11.0	2.0	1.0	1.0	2.0	4.0	5.0	7.0	6.0	5.0	5.0	5.0	7.0	6.0
ENSDARG00000042272	tmem231	2.0	8.0	8.0	7.0	11.0	7.0	11.0	21.0	23.0	12.0	13.0	10.0	7.0	7.0	6.0	5.0	5.0	5.0
ENSDARG00000042277	efnb3b		2.0	9.0	2.0	3.0	3.0	4.0	4.0	17.0	12.0	19.0	17.0	22.0	33.0	21.0	16.0	19.0	16.0
ENSDARG00000042282	itga6a							1.0	10.0	58.0	47.0	44.0	27.0	16.0	17.0	11.0	7.0	6.0	5.0
ENSDARG00000042285	atp8b3	1.0	2.0	3.0	2.0	2.0	0.9	0.6	0.1		0.2	0.4	0.4	0.2	0.2	0.4	0.8	0.9	1.0
ENSDARG00000042291	dlx6a	0.6	0.5	8.0	3.0	0.5					2.0	6.0	6.0	9.0	8.0	9.0	8.0	7.0	6.0
ENSDARG00000042293	ca4b			1.0													9.0	14.0	13.0
ENSDARG00000042296	dlx5a					1.0	0.7		2.0	6.0	26.0	39.0	44.0	43.0	45.0	53.0	32.0	24.0	23.0
ENSDARG00000042308	arhgef18b	2.0	6.0	23.0	19.0	20.0	10.0	5.0	6.0	9.0	10.0	7.0	6.0	5.0	6.0	3.0	4.0	5.0	6.0
ENSDARG00000042319	cdca4	67.0	79.0	61.0	62.0	41.0	54.0	49.0	47.0	47.0	45.0	51.0	46.0	51.0	60.0	51.0	41.0	38.0	40.0
ENSDARG00000042322	si:dkey-177p2.6	10.0	10.0	9.0	14.0	22.0	28.0	25.0	25.0	21.0	17.0	20.0	14.0	12.0	13.0	12.0	18.0	21.0	20.0
ENSDARG00000042329	si:dkey-91m11.5	2.0	2.0	11.0	20.0	5.0	2.0	2.0	3.0	11.0	4.0	5.0	4.0	4.0	4.0	5.0	7.0	7.0	8.0
ENSDARG00000042332	plin2	0.2	0.4	0.4	2.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	5.0	4.0	4.0
ENSDARG00000042336	impdh1a	12.0	9.0	16.0	14.0	7.0	3.0	0.3					0.5	3.0	2.0	4.0	13.0	21.0	27.0
ENSDARG00000042337	chrac1	9.0	20.0	81.0	117.0	110.0	167.0	172.0	183.0	150.0	135.0	113.0	88.0	80.0	84.0	49.0	37.0	32.0	28.0
ENSDARG00000042338	lpar2a		1.0	17.0	27.0	19.0	14.0	13.0	24.0	32.0	16.0	12.0	10.0	10.0	7.0	8.0	7.0	12.0	13.0
ENSDARG00000042341	tmem251	151.0	137.0	132.0	127.0	91.0	29.0	14.0	17.0	23.0	18.0	20.0	15.0	14.0	11.0	13.0	19.0	17.0	14.0
ENSDARG00000042344	trmt6	49.0	52.0	113.0	117.0	58.0	34.0	37.0	37.0	35.0	20.0	22.0	12.0	9.0	8.0	6.0	6.0	6.0	6.0
ENSDARG00000042345	si:dkeyp-55f12.3			13.0	14.0	10.0	12.0	5.0	11.0	48.0	52.0	49.0	42.0	40.0	33.0	28.0	19.0	22.0	19.0
ENSDARG00000042350	syt1b						0.7									2.0	3.0	2.0	3.0
ENSDARG00000042357	cldnk				0.4		1.0	3.0	3.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	10.0	17.0	18.0
ENSDARG00000042368	kif26aa	0.3	0.3	1.0	1.0	0.3	0.2	0.2	0.1	0.3	0.6	6.0	8.0	4.0	4.0	5.0	5.0	4.0	4.0
ENSDARG00000042379	zgc:103681		2.0	2.0	2.0	0.5			0.5	2.0	0.8	2.0	8.0	6.0	1.0	4.0	7.0	18.0	10.0
ENSDARG00000042383	zbtb25														0.5	1.0	3.0	3.0	3.0
ENSDARG00000042387	zgc:77752						0.4	0.4	0.4								3.0	3.0	3.0
ENSDARG00000042390	syndig1l														0.6	2.0	6.0	5.0	6.0
ENSDARG00000042391	ENSDARG00000042391					2.0	0.3							0.2		0.3		0.7	
ENSDARG00000042396	odf3b		0.4	0.6	1.0	0.7	0.7	0.3	0.1	0.1	0.4					0.6	2.0	2.0	0.7
ENSDARG00000042401	derl2	140.0	130.0	102.0	108.0	95.0	45.0	28.0	15.0	21.0	24.0	21.0	20.0	20.0	19.0	14.0	18.0	14.0	7.0
ENSDARG00000042409	RALGDS			0.2	0.2	0.2	0.1	0.2	2.0	4.0	2.0	3.0	3.0	3.0	2.0	4.0	7.0	7.0	8.0
ENSDARG00000042410	rab40b	9.0	10.0	24.0	28.0	18.0	4.0	2.0	1.0	5.0	6.0	6.0	6.0	6.0	4.0	8.0	13.0	18.0	21.0
ENSDARG00000042418	galnt17					0.3					0.2	0.3	0.8	0.9	1.0	2.0	10.0	9.0	9.0
ENSDARG00000042428	gstt1a	1.0	1.0	1.0	0.6	1.0	2.0	1.0		1.0	4.0	8.0	27.0	40.0	28.0	61.0	111.0	119.0	100.0
ENSDARG00000042440	p2rx7			3.0	6.0	3.0	0.9	0.5	0.4	9.0	4.0	3.0	2.0	2.0	3.0	3.0	3.0	5.0	5.0
ENSDARG00000042456	mad2l2	16.0	32.0	63.0	56.0	34.0	32.0	36.0	36.0	23.0	24.0	21.0	17.0	16.0	15.0	14.0	13.0	13.0	11.0
ENSDARG00000042458	rfc4	6.0	9.0	56.0	50.0	54.0	43.0	36.0	38.0	58.0	70.0	64.0	55.0	48.0	42.0	26.0	15.0	14.0	11.0
ENSDARG00000042467	tlk1a	33.0	58.0	237.0	231.0	202.0	61.0	52.0	55.0	58.0	56.0	50.0	49.0	41.0	44.0	32.0	31.0	27.0	29.0
ENSDARG00000042469	ndufa12	10.0	10.0	4.0	8.0	5.0	10.0	14.0	20.0	43.0	41.0	42.0	50.0	48.0	56.0	59.0	79.0	79.0	49.0
ENSDARG00000042470	s1pr3a											2.0	2.0	3.0	3.0	4.0	3.0	3.0	4.0
ENSDARG00000042477	nr2c2	3.0	5.0	13.0	15.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	6.0	10.0	13.0	13.0	15.0
ENSDARG00000042484	tle2a	111.0	103.0	193.0	172.0	189.0	211.0	220.0	245.0	210.0	144.0	108.0	98.0	89.0	106.0	77.0	38.0	29.0	29.0
ENSDARG00000042485	foxd5				17.0	179.0	242.0	302.0	327.0	59.0	29.0	19.0	6.0	2.0	3.0	0.7	0.7	0.8	
ENSDARG00000042489	thap12a	13.0	16.0	79.0	76.0	83.0	69.0	55.0	39.0	35.0	29.0	32.0	28.0	26.0	25.0	17.0	9.0	9.0	7.0
ENSDARG00000042492	si:dkey-250d21.1	0.3	0.7	9.0	8.0	4.0	15.0	10.0	13.0	9.0	3.0	7.0	8.0	7.0	6.0	4.0	4.0	5.0	4.0
ENSDARG00000042496	parp12a	13.0	15.0	40.0	44.0	14.0	4.0	1.0					0.5	0.3	0.4	0.9	2.0	3.0	4.0
ENSDARG00000042508	ubr3	7.0	11.0	50.0	77.0	83.0	59.0	37.0	16.0	22.0	12.0	19.0	15.0	12.0	17.0	14.0	14.0	15.0	14.0
ENSDARG00000042509	glod4	9.0	6.0	21.0	27.0	17.0	9.0	8.0	6.0	16.0	15.0	16.0	13.0	11.0	12.0	8.0	15.0	17.0	11.0
ENSDARG00000042510	acot20	2.0	4.0	13.0	11.0	3.0	2.0	2.0	6.0	9.0	6.0	8.0	9.0	7.0	7.0	7.0	9.0	13.0	7.0
ENSDARG00000042515	gpr176			0.5	1.0	4.0	1.0	3.0	2.0	1.0	3.0	3.0	2.0	3.0	4.0	4.0	7.0	6.0	6.0
ENSDARG00000042518	hipk2	2.0	5.0	21.0	20.0	15.0	4.0	2.0	0.8	2.0	1.0	1.0	3.0	5.0	4.0	5.0	7.0	10.0	11.0
ENSDARG00000042520	UTP14C	21.0	25.0	21.0	16.0	34.0	109.0	149.0	144.0	116.0	90.0	87.0	68.0	35.0	37.0	22.0	21.0	18.0	18.0
ENSDARG00000042521	si:dkey-251i10.1									0.2	0.3	1.0	2.0	1.0	0.5	1.0	3.0	3.0	2.0
ENSDARG00000042522	katnbl1	148.0	206.0	124.0	132.0	54.0	39.0	52.0	50.0	32.0	22.0	19.0	17.0	16.0	19.0	18.0	14.0	12.0	11.0
ENSDARG00000042525	ebf2								2.0	21.0	31.0	42.0	52.0	75.0	104.0	54.0	9.0	7.0	5.0
ENSDARG00000042526	sebox					7.0	45.0	7.0	0.4	0.2							1.0	0.6	0.8
ENSDARG00000042527	unga	281.0	266.0	123.0	133.0	61.0	44.0	46.0	36.0	40.0	39.0	41.0	45.0	32.0	17.0	10.0	9.0	9.0	6.0
ENSDARG00000042529	gnat2					0.3					0.5	0.3	0.4	0.7	1.0	1.0	490.0	744.0	696.0
ENSDARG00000042530	nup205	5.0	11.0	33.0	34.0	33.0	48.0	64.0	79.0	77.0	60.0	72.0	63.0	48.0	41.0	26.0	19.0	20.0	19.0
ENSDARG00000042533	gstm.1	70.0	72.0	213.0	214.0	158.0	43.0	17.0	25.0	111.0	126.0	118.0	100.0	87.0	96.0	75.0	87.0	77.0	62.0
ENSDARG00000042534	rsrc2	11.0	16.0	68.0	67.0	54.0	78.0	104.0	103.0	60.0	53.0	52.0	41.0	42.0	43.0	43.0	40.0	35.0	40.0
ENSDARG00000042535	actc1a		2.0		2.0	3.0	2.0	5.0	44.0	337.0	437.0	920.0	1183.0	1284.0	863.0	913.0	459.0	311.0	250.0
ENSDARG00000042539	ywhaqa	457.0	414.0	363.0	399.0	367.0	278.0	230.0	228.0	313.0	342.0	322.0	238.0	206.0	192.0	182.0	257.0	214.0	180.0
ENSDARG00000042544	degs2	9.0	8.0	51.0	42.0	25.0	88.0	90.0	81.0	25.0	8.0	10.0	12.0	10.0	8.0	8.0	22.0	27.0	15.0
ENSDARG00000042545	sema3ga	2.0	3.0	15.0	17.0	9.0	3.0	0.9		0.9	3.0	3.0	3.0	5.0	5.0	4.0	5.0	6.0	4.0
ENSDARG00000042548	tpd52l1	0.7	0.6	1.0	3.0	2.0	2.0	1.0	4.0	3.0	2.0	5.0	5.0	5.0	4.0	7.0	11.0	13.0	12.0
ENSDARG00000042551	mboat2b	24.0	28.0	60.0	62.0	27.0	6.0	2.0	2.0	9.0	6.0	10.0	8.0	8.0	11.0	13.0	13.0	13.0	12.0
ENSDARG00000042552	cacna1sb					1.0	0.5	0.5	0.1	0.1	0.5	5.0	17.0	23.0	21.0	22.0	25.0	29.0	31.0
ENSDARG00000042553	pex7	14.0	10.0	8.0	10.0	4.0	1.0	2.0	3.0	8.0	7.0	8.0	7.0	6.0	4.0	5.0	6.0	8.0	7.0
ENSDARG00000042555	dym	37.0	41.0	44.0	37.0	28.0	11.0	6.0	2.0	5.0	4.0	5.0	5.0	4.0	7.0	5.0	7.0	7.0	4.0
ENSDARG00000042557	rnf144ab	8.0	19.0	19.0	14.0	6.0	2.0	2.0	4.0	3.0	3.0	3.0	5.0	5.0	8.0	11.0	12.0	12.0	14.0
ENSDARG00000042559	tnni1c									4.0	17.0	44.0	73.0	102.0	93.0	91.0	68.0	62.0	62.0
ENSDARG00000042561	lpar2b	292.0	313.0	176.0	168.0	123.0	101.0	139.0	86.0	24.0	20.0	20.0	19.0	20.0	12.0	13.0	13.0	22.0	20.0
ENSDARG00000042562	allc															0.4	4.0	8.0	8.0
ENSDARG00000042563	mis18bp1	56.0	63.0	101.0	109.0	71.0	51.0	59.0	50.0	40.0	26.0	23.0	22.0	16.0	18.0	9.0	4.0	4.0	2.0
ENSDARG00000042566	rps7	453.0	483.0	231.0	303.0	479.0	1080.0	1338.0	1879.0	3394.0	4686.0	4118.0	4203.0	4132.0	3746.0	3643.0	2826.0	2912.0	3201.0
ENSDARG00000042571	rnaseh1	123.0	121.0	75.0	63.0	9.0	13.0	20.0	25.0	26.0	27.0	19.0	15.0	13.0	13.0	12.0	13.0	12.0	12.0
ENSDARG00000042577	batf3		4.0	17.0	18.0	13.0	6.0	1.0	1.0	5.0	2.0	1.0		2.0					
ENSDARG00000042590	rbm19	23.0	22.0	27.0	27.0	25.0	52.0	82.0	88.0	61.0	51.0	42.0	32.0	20.0	18.0	12.0	14.0	13.0	14.0
ENSDARG00000042608	ica1	39.0	42.0	48.0	57.0	32.0	3.0	2.0	1.0	3.0	1.0	1.0	1.0	2.0	3.0	5.0	9.0	9.0	10.0
ENSDARG00000042613	crp3																6.0	12.0	10.0
ENSDARG00000042616	sema3h									0.3	2.0	2.0	1.0	0.6	0.6	1.0	2.0	3.0	3.0
ENSDARG00000042620	gstr	24.0	21.0	36.0	37.0	39.0	40.0	32.0	35.0	23.0	31.0	27.0	32.0	34.0	32.0	37.0	67.0	121.0	124.0
ENSDARG00000042623	acbd3	27.0	40.0	124.0	114.0	77.0	57.0	46.0	60.0	50.0	37.0	41.0	26.0	23.0	28.0	26.0	23.0	18.0	14.0
ENSDARG00000042627	nhsl1b	0.2	0.6	8.0	6.0	7.0	31.0	44.0	70.0	38.0	32.0	37.0	32.0	31.0	27.0	16.0	11.0	12.0	12.0
ENSDARG00000042630	hebp2	12.0	24.0	68.0	89.0	84.0	85.0	73.0	39.0	13.0	27.0	53.0	57.0	41.0	26.0	21.0	24.0	26.0	24.0
ENSDARG00000042637	tert	1.0	0.7	6.0	9.0	5.0	4.0	6.0	9.0	16.0	20.0	15.0	11.0	8.0	11.0	6.0	3.0	4.0	4.0
ENSDARG00000042641	cyp51	0.9	0.3	0.8	1.0	4.0	25.0	34.0	37.0	14.0	12.0	11.0	11.0	11.0	7.0	11.0	23.0	47.0	26.0
ENSDARG00000042642	wtap	210.0	167.0	154.0	138.0	105.0	172.0	174.0	193.0	139.0	122.0	107.0	81.0	75.0	86.0	62.0	54.0	52.0	48.0
ENSDARG00000042644	sod2	3.0	7.0	81.0	90.0	65.0	79.0	45.0	21.0	4.0	1.0	1.0	3.0	16.0	26.0	35.0	81.0	91.0	78.0
ENSDARG00000042646	zgc:77784	0.5	1.0	6.0	8.0	4.0	0.5	0.2	0.1	0.2	3.0	6.0	7.0	6.0	9.0	7.0	10.0	7.0	8.0
ENSDARG00000042652	rreb1b	1.0	7.0	15.0	12.0	10.0	7.0	8.0	19.0	19.0	18.0	21.0	22.0	14.0	10.0	11.0	9.0	11.0	9.0
ENSDARG00000042656	nrn1b											0.4					1.0	1.0	2.0
ENSDARG00000042658	acad8	24.0	24.0	39.0	36.0	18.0	9.0	6.0	3.0	7.0	8.0	12.0	19.0	22.0	15.0	17.0	21.0	19.0	16.0
ENSDARG00000042659	thyn1	66.0	47.0	62.0	63.0	57.0	42.0	26.0	18.0	58.0	44.0	44.0	28.0	22.0	24.0	13.0	14.0	8.0	5.0
ENSDARG00000042660	fam32a	153.0	201.0	140.0	154.0	203.0	277.0	216.0	250.0	137.0	125.0	130.0	107.0	112.0	114.0	115.0	108.0	91.0	86.0
ENSDARG00000042667	klf2a		2.0	3.0	9.0	117.0	23.0	9.0	55.0	9.0	8.0	7.0	7.0	10.0	9.0	17.0	41.0	94.0	150.0
ENSDARG00000042670	eps15l1a					0.5	8.0	10.0	16.0	18.0	16.0	16.0	17.0	16.0	17.0	18.0	18.0	18.0	18.0
ENSDARG00000042671	odr4	0.6	1.0	40.0	62.0	58.0	27.0	27.0	18.0	25.0	15.0	16.0	15.0	14.0	10.0	8.0	10.0	8.0	8.0
ENSDARG00000042677	cadm1b			0.4	0.4	0.7	0.3								0.4	0.3	3.0	3.0	3.0
ENSDARG00000042683	si:dkey-15j16.3					1.0	7.0	21.0	21.0	13.0	12.0	5.0	2.0	1.0	1.0		0.8	0.3	
ENSDARG00000042684	serpinc1					0.2	1.0	1.0	4.0	16.0	7.0	14.0	45.0	39.0	9.0	27.0	36.0	46.0	40.0
ENSDARG00000042688	bora	65.0	48.0	209.0	207.0	88.0	53.0	79.0	49.0	16.0	10.0	11.0	9.0	10.0	10.0	6.0	2.0	2.0	1.0
ENSDARG00000042689	zbtb37	0.5	1.0	2.0	2.0	1.0			3.0	4.0	2.0	4.0	3.0	5.0	4.0	4.0	8.0	8.0	8.0
ENSDARG00000042690	s1pr1					0.3		0.3	2.0	7.0	24.0	40.0	48.0	64.0	95.0	87.0	70.0	66.0	62.0
ENSDARG00000042698	si:dkey-15j16.6					9.0	48.0	107.0	132.0	79.0	67.0	20.0	16.0	4.0	10.0	1.0	4.0	2.0	0.6
ENSDARG00000042703	parp6a				0.4	2.0	3.0	2.0	2.0	4.0	2.0	3.0	2.0	3.0	5.0	8.0	11.0	12.0	13.0
ENSDARG00000042707	cx30.3	2.0	12.0	10.0	8.0	3.0		0.3	5.0	5.0	18.0	32.0	42.0	50.0	35.0	39.0	27.0	23.0	26.0
ENSDARG00000042708	tuba8l	1.0	5.0	49.0	39.0	38.0	79.0	133.0	151.0	229.0	228.0	276.0	279.0	271.0	289.0	203.0	191.0	171.0	114.0
ENSDARG00000042716	ENSDARG00000042716	30.0	37.0	62.0	64.0	21.0	4.0	3.0	4.0	6.0	6.0	6.0	10.0	7.0	6.0	7.0	17.0	15.0	10.0
ENSDARG00000042717	adipor1b	14.0	28.0	47.0	56.0	57.0	24.0	19.0	20.0	20.0	18.0	16.0	14.0	13.0	11.0	11.0	13.0	14.0	12.0
ENSDARG00000042722	blnk									0.6	0.2	0.8	0.6	0.4	0.3	0.4	0.8	1.0	1.0
ENSDARG00000042723	gfra2a											0.6	0.5	0.8	1.0	1.0	5.0	8.0	10.0
ENSDARG00000042724	supt5h	49.0	58.0	126.0	114.0	134.0	152.0	188.0	147.0	115.0	102.0	98.0	87.0	65.0	81.0	59.0	51.0	49.0	48.0
ENSDARG00000042725	cebpb	4.0	12.0	23.0	6.0	309.0	447.0	425.0	264.0	45.0	26.0	32.0	43.0	40.0	21.0	37.0	130.0	70.0	95.0
ENSDARG00000042726	grb7	0.4	2.0	1.0	2.0	2.0	0.8	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0
ENSDARG00000042727	exo5	23.0	25.0	36.0	41.0	27.0	13.0	7.0	6.0	24.0	7.0	7.0	4.0	3.0	3.0	2.0	3.0	4.0	5.0
ENSDARG00000042728	plaa	10.0	15.0	71.0	65.0	49.0	19.0	20.0	17.0	24.0	26.0	31.0	29.0	28.0	40.0	30.0	24.0	19.0	15.0
ENSDARG00000042732	tmem189	48.0	40.0	35.0	32.0	36.0	30.0	26.0	28.0	27.0	26.0	31.0	29.0	27.0	25.0	24.0	31.0	26.0	21.0
ENSDARG00000042737	slc52a3								0.2	0.4		0.5	1.0	1.0	0.3	0.6	2.0	4.0	4.0
ENSDARG00000042742	stx6	2.0	5.0	5.0	5.0	7.0	16.0	17.0	20.0	28.0	27.0	23.0	16.0	16.0	22.0	25.0	19.0	17.0	17.0
ENSDARG00000042747	coasy	93.0	99.0	78.0	71.0	49.0	18.0	20.0	23.0	28.0	20.0	22.0	18.0	16.0	15.0	11.0	14.0	17.0	17.0
ENSDARG00000042751	riok3	4.0	11.0	124.0	105.0	78.0	44.0	36.0	43.0	68.0	62.0	70.0	74.0	64.0	79.0	55.0	51.0	49.0	51.0
ENSDARG00000042753	cts12	2.0	0.5	0.5	0.8												5.0	14.0	4.0
ENSDARG00000042759	cnstb			2.0	2.0	3.0	3.0	3.0	5.0	5.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0	6.0	7.0
ENSDARG00000042777	ndufa11	254.0	176.0	73.0	71.0	39.0	57.0	53.0	74.0	69.0	96.0	95.0	99.0	122.0	124.0	132.0	179.0	192.0	137.0
ENSDARG00000042780	apoba					0.3	0.2	0.5	4.0	11.0	8.0	20.0	140.0	129.0	18.0	81.0	44.0	32.0	20.0
ENSDARG00000042784	gdf7												2.0	0.8	0.8	0.8	0.8	2.0	2.0
ENSDARG00000042785	ENSDARG00000042785		0.1	0.4	0.2				0.4	5.0	3.0	4.0	5.0	5.0	6.0	9.0	10.0	9.0	8.0
ENSDARG00000042791	git2b	5.0	9.0	21.0	19.0	15.0	7.0	6.0	7.0	8.0	5.0	6.0	6.0	6.0	7.0	7.0	7.0	8.0	7.0
ENSDARG00000042793	tpp1	108.0	74.0	102.0	75.0	66.0	49.0	42.0	42.0	44.0	33.0	34.0	48.0	34.0	20.0	26.0	20.0	22.0	24.0
ENSDARG00000042796	yy1a	3.0	6.0	8.0	7.0	129.0	290.0	273.0	159.0	97.0	94.0	89.0	85.0	74.0	91.0	78.0	51.0	52.0	55.0
ENSDARG00000042799	atpaf1	3.0	5.0	17.0	15.0	15.0	36.0	47.0	48.0	53.0	45.0	38.0	27.0	28.0	30.0	24.0	35.0	30.0	24.0
ENSDARG00000042803	ENSDARG00000042803												0.9	1.0	1.0	4.0	17.0	22.0	20.0
ENSDARG00000042807	slc16a4				0.1		0.4	0.3	0.2	6.0	2.0	6.0	11.0	10.0	3.0	8.0	20.0	17.0	12.0
ENSDARG00000042811	fgf1b		0.4	0.5	0.5	0.5	4.0	3.0	2.0	3.0	2.0	3.0	3.0	4.0	4.0	4.0	5.0	4.0	2.0
ENSDARG00000042815	alkal2b												0.5	1.0	2.0	3.0	2.0	3.0	3.0
ENSDARG00000042816	mmp9	11.0	7.0	1.0	1.0	3.0	7.0	5.0	0.9	1.0	3.0	3.0	3.0	3.0	2.0	3.0	6.0	7.0	7.0
ENSDARG00000042821	agps	6.0	17.0	48.0	45.0	49.0	31.0	19.0	9.0	13.0	19.0	20.0	15.0	10.0	12.0	8.0	9.0	8.0	7.0
ENSDARG00000042823	spcs2	210.0	221.0	168.0	195.0	201.0	205.0	141.0	156.0	184.0	163.0	178.0	131.0	119.0	127.0	107.0	111.0	96.0	70.0
ENSDARG00000042824	nfe2l2a	0.7		0.4	0.8	0.8	0.1	0.1	0.8	2.0	2.0	4.0	8.0	13.0	12.0	23.0	52.0	63.0	75.0
ENSDARG00000042825	rnf169	1.0	5.0	10.0	11.0	11.0	10.0	6.0	9.0	17.0	7.0	8.0	6.0	6.0	7.0	6.0	8.0	9.0	10.0
ENSDARG00000042826	egr2b	0.5		0.4	0.6	0.4				80.0	51.0	19.0	7.0	2.0	1.0	0.8	4.0	6.0	10.0
ENSDARG00000042827	adoa	6.0	11.0	11.0	13.0	10.0	23.0	19.0	25.0	28.0	24.0	25.0	14.0	17.0	19.0	18.0	14.0	12.0	14.0
ENSDARG00000042829	si:dkey-30j22.1			0.1	0.1	0.1		0.1	0.1			0.1	0.2	0.4	0.2	0.3	0.6	2.0	1.0
ENSDARG00000042833	rffl	1.0	4.0	32.0	48.0	29.0	9.0	7.0	11.0	16.0	10.0	15.0	12.0	12.0	10.0	10.0	8.0	10.0	9.0
ENSDARG00000042835	tfdp2	1.0	7.0	16.0	15.0	7.0	2.0	1.0	9.0	36.0	39.0	46.0	49.0	50.0	63.0	38.0	18.0	16.0	14.0
ENSDARG00000042837	atp1b3b	308.0	416.0	326.0	381.0	300.0	159.0	88.0	25.0	22.0	29.0	44.0	69.0	95.0	118.0	130.0	221.0	210.0	185.0
ENSDARG00000042839	dph6	0.3	0.7	3.0	3.0	4.0	4.0	5.0	12.0	18.0	16.0	17.0	14.0	9.0	6.0	4.0	6.0	8.0	9.0
ENSDARG00000042840	eml1	5.0	4.0	4.0	3.0	2.0	2.0	0.8	0.5	1.0	3.0	5.0	7.0	8.0	13.0	14.0	12.0	12.0	12.0
ENSDARG00000042845	oxt															1.0	11.0	9.0	9.0
ENSDARG00000042846	disp2									0.1		0.1	0.3	0.6	1.0	3.0	6.0	6.0	7.0
ENSDARG00000042848	pcmtl	6.0	5.0	8.0	7.0	2.0	0.5	1.0	2.0	5.0	6.0	6.0	4.0	4.0	4.0	5.0	6.0	6.0	6.0
ENSDARG00000042850	nphs2														0.9	2.0	2.0	1.0	1.0
ENSDARG00000042851	srp9	37.0	64.0	51.0	33.0	50.0	146.0	165.0	206.0	157.0	130.0	111.0	72.0	59.0	66.0	47.0	48.0	42.0	29.0
ENSDARG00000042853	ivd	75.0	77.0	77.0	74.0	73.0	61.0	36.0	21.0	23.0	28.0	35.0	38.0	34.0	35.0	30.0	42.0	47.0	53.0
ENSDARG00000042854	ephx1	2.0	4.0	24.0	30.0	15.0	3.0	2.0	2.0	6.0	7.0	10.0	8.0	6.0	6.0	4.0	14.0	24.0	21.0
ENSDARG00000042856	itpka	12.0	7.0	9.0	7.0	5.0	8.0	15.0	20.0	9.0	7.0	6.0	6.0	7.0	7.0	5.0	11.0	13.0	13.0
ENSDARG00000042857	si:ch211-246m6.4										0.8	2.0	11.0	8.0	12.0	6.0	7.0	9.0	11.0
ENSDARG00000042859	slc5a6a	19.0	17.0	18.0	19.0	11.0	5.0	3.0	3.0	1.0	0.9	0.9	0.8	0.4	0.9	0.7	2.0	3.0	2.0
ENSDARG00000042861	ltk	2.0	3.0	4.0	6.0	4.0	0.7	0.3		0.1		0.1	0.8	0.8	1.0	2.0	3.0	4.0	4.0
ENSDARG00000042864	rpl7l1	4.0	9.0	56.0	84.0	114.0	173.0	187.0	200.0	230.0	201.0	172.0	120.0	78.0	79.0	47.0	46.0	38.0	32.0
ENSDARG00000042866	cx35.4	1.0	4.0	4.0	2.0	2.0	14.0	14.0	11.0	3.0	4.0	5.0	7.0	8.0	4.0	7.0	12.0	13.0	14.0
ENSDARG00000042872	zdhhc8a						0.6	0.7	0.3	0.7	0.8	0.8	0.4	0.5	1.0	2.0	10.0	9.0	15.0
ENSDARG00000042873	slc25a27	2.0	1.0	3.0	3.0	2.0	0.6	0.4	0.5	6.0	5.0	5.0	7.0	3.0	2.0	2.0	2.0	3.0	2.0
ENSDARG00000042874	phlda2	2.0	2.0	1.0		1.0	4.0	0.9		21.0	28.0	41.0	30.0	29.0	33.0	41.0	59.0	41.0	41.0
ENSDARG00000042876	abracl	62.0	45.0	81.0	110.0	107.0	151.0	126.0	123.0	110.0	103.0	104.0	78.0	75.0	64.0	67.0	61.0	40.0	21.0
ENSDARG00000042877	heca	1.0	5.0	43.0	41.0	23.0	3.0	0.9	0.4	1.0	0.9	2.0	2.0	4.0	4.0	4.0	8.0	9.0	11.0
ENSDARG00000042880	si:ch211-222f23.6										0.3				0.3	0.4	0.4	0.6	0.4
ENSDARG00000042881	nthl1	40.0	45.0	38.0	46.0	24.0	4.0	3.0	1.0	10.0	8.0	12.0	13.0	12.0	9.0	6.0	8.0	11.0	9.0
ENSDARG00000042887	TNPO2	41.0	104.0	181.0	168.0	179.0	197.0	199.0	135.0	66.0	51.0	63.0	56.0	49.0	49.0	40.0	31.0	33.0	27.0
ENSDARG00000042892	paip1	108.0	103.0	79.0	78.0	47.0	12.0	7.0	9.0	12.0	15.0	18.0	16.0	19.0	26.0	22.0	26.0	26.0	28.0
ENSDARG00000042894	tyms	465.0	490.0	326.0	346.0	105.0	39.0	34.0	37.0	54.0	61.0	85.0	114.0	91.0	64.0	44.0	33.0	35.0	21.0
