Gene_ID	Gene_Name	zygote	cleavage_2-cell	blastula_128-cell	blastula_1k-cell	blastula_dome	gastrula_50%-epiboly	gastrula_shield	gastrula_75%-epiboly	segmentation_1-4_somites	segmentation_14-19_somites	segmentation_20-25_somites	pharyngula_prim-5	pharyngula_prim-15	pharyngula_prim-25	hatching_long-pec	larval_protruding_mouth	larval_day_4	larval_day_5
ENSDARG00000036162	hnrnpa0b	449	342	255	296	1465	3491	3819	3312	1026	915	1002	1060	835	901	693	467	338	241
ENSDARG00000036164	cars1	26	34	54	55	57	51	51	27	47	42	49	38	32	36	30	31	23	16
ENSDARG00000036168	nfatc1									0.1	0.3	0.6	2	2	2	4	7	5	4
ENSDARG00000036171	rnasel3					0.5	0.5	0.8	0.5	6	3	7	23	20	7	27	34	20	8
ENSDARG00000036175	pcdh1b	0.4	0.8	2	2	47	117	113	130	32	24	21	17	13	12	15	19	20	20
ENSDARG00000036179	myo1ea	3	3	6	2	0.8	1	3	4	4	4	5	8	8	11	10	16	12	12
ENSDARG00000036180	ccnb2	2240	2168	1940	1805	942	288	222	127	43	34	28	25	22	20	11	5	4	3
ENSDARG00000036186	mbpa																31	60	80
ENSDARG00000036189	spata4	0.8	3	13	6	5	3	0.8	3	6	4	6	5	4	2	2	0.9	0.9	1
ENSDARG00000036190	txnl4a	47	152	140	171	161	159	128	96	98	95	78	69	56	65	58	51	38	21
ENSDARG00000036194	pitx2					8	22	18	9	28	23	27	22	22	30	35	23	20	19
ENSDARG00000036212	tbc1d5	53	70	100	90	81	55	22	11	19	16	17	19	17	17	19	20	20	24
ENSDARG00000036214	dazl	680	490	171	87	25	12	4	1	0.7		0.4	0.4	0.5		0.7			0.8
ENSDARG00000036215	lcp2b						0.6		2	0.5									
ENSDARG00000036222	npy								2		2					1	8	11	14
ENSDARG00000036227	npvf													2	3	4	4	2	3
ENSDARG00000036232	trpm7	156	190	133	101	112	58	23	11	28	36	36	24	20	22	20	17	20	19
ENSDARG00000036235	zbtb3	8	30	81	54	21	15	11	14	9	8	8	6	6	8	8	7	5	5
ENSDARG00000036237	slc27a2a	0.4	0.7	2	0.9	2	0.9	1	16	80	55	85	205	142	34	72	44	58	64
ENSDARG00000036239	gatm	14	28	37	33	25	20	31	131	400	255	516	894	669	275	578	389	358	214
ENSDARG00000036245	wipf3	0.4	0.6	0.8	3	3	18	36	43	6	6	9	9	8	11	9	7	6	5
ENSDARG00000036247	tmem144b	123	134	134	145	85	25	9	2	0.5									
ENSDARG00000036252	rras2	3	6	9	12	9	7	10	9	50	39	40	26	17	12	13	15	13	11
ENSDARG00000036254	hoxa13b									4	5	8	4	4	4	7	6	4	3
ENSDARG00000036257	rasal2	23	37	119	121	47	19	29	37	35	32	30	24	18	18	11	11	11	10
ENSDARG00000036272	gcgrb									2	0.9	2	4	3	1	2	2	3	3
ENSDARG00000036279	lamc1	17	19	69	70	52	64	78	117	165	80	97	110	95	70	74	71	72	56
ENSDARG00000036281	CC2D1A	3	7	17	15	17	6	4	5	5	5	5	7	6	6	5	7	8	7
ENSDARG00000036282	rnaset2	16	13	12	9	10	18	4	5	6	5	8	10	10	9	9	15	15	15
ENSDARG00000036291	nucb2b	22	25	32	25	9	4	4	5	12	15	20	33	26	14	14	17	22	15
ENSDARG00000036292	cdx4				0.8	0.5	97	259	665	503	285	100	21	6	2	0.5	0.6	1	0.6
ENSDARG00000036293	gnb1l	34	47	64	77	64	22	10	2	3	4	3	2	2	3	1	0.6	3	0.6
ENSDARG00000036295	golga7ba	0.3	0.4	1	2	8	25	26	17	6	13	17	12	20	48	48	38	31	28
ENSDARG00000036298	rps13	310	303	115	194	248	568	792	1026	1740	2535	2196	2126	2044	1925	1745	1346	1362	1536
ENSDARG00000036299	nucb2a		0.8	8	3	5	10	16	38	103	106	133	158	134	88	94	111	99	77
ENSDARG00000036304	dnaaf3l									1	1	2	1	0.7	0.6	0.5			
ENSDARG00000036305	phf23b	45	60	133	135	74	57	50	48	28	23	25	18	15	17	15	12	12	10
ENSDARG00000036308	nod1	2	3	4	4	2	1						0.4	0.2		0.5	0.6	1	1
ENSDARG00000036316	rpl39	107	116	49	92	127	322	310	416	1003	1542	1177	1137	1165	1227	1104	842	806	931
ENSDARG00000036329	ndufa1	8	9	5	5	2	7	8	15	39	46	51	48	51	70	73	80	79	69
ENSDARG00000036335	c1galt1c1	3	4	13	13	8	14	21	30	28	18	20	20	18	18	15	18	19	13
ENSDARG00000036337	cers3b	0.3			1					0.4	1	2	2	3	2	2	4	6	7
ENSDARG00000036338	vps11	17	20	49	44	22	4	2	5	13	12	14	15	15	16	16	16	17	16
ENSDARG00000036344	calb2b							0.5	0.6		2	7	15	22	24	46	242	164	136
ENSDARG00000036345	cmtr2	21	40	45	38	10	3	4	5	7	7	7	6	5	7	4	4	4	4
ENSDARG00000036359	riox2	0.7	4	14	15	26	22	23	38	78	82	68	39	29	25	13	10	12	16
ENSDARG00000036371	acta1a					0.4		0.4		116	281	570	486	622	270	625	472	315	261
ENSDARG00000036375	cyfip2	0.3	0.5	4	3	3	2	1	0.9	19	18	23	24	29	43	45	50	47	45
ENSDARG00000036376	cldn7a													0.4	0.8	5	36	29	24
ENSDARG00000036382	ponzr6														2	3	7	8	9
ENSDARG00000036383	slc24a6a	0.3	0.7	2	2	0.5	0.1			0.2	0.3	0.8	0.9	1	3	4	12	14	15
ENSDARG00000036386	rbm4.1	9	28	59	46	17	21	22	42	52	57	55	41	40	53	42	22	19	11
ENSDARG00000036394	pop7	18	23	82	63	36	34	39	51	36	36	36	30	28	41	49	40	31	24
ENSDARG00000036412	si:ch211-81a5.5									0.4	1	2	0.5	0.6	0.7	0.8	0.9	0.9	0.5
ENSDARG00000036414	si:ch73-335l21.1			0.7	1	0.8	0.5	0.9	1	9	11	10	9	8	9	9	12	13	16
ENSDARG00000036415	glb1	0.3	0.6	6	6	4	1	2	3	7	9	9	13	8	8	6	8	11	9
ENSDARG00000036420	si:dkey-33c9.6	1	4	6	12	4	0.9			0.2	0.6	0.2	0.6	0.3	0.4	0.3	0.8	2	1
ENSDARG00000036422	ntn5					0.4	0.9	0.1		2	5	5	2	2	6	9	15	14	11
ENSDARG00000036424	pcdh20					0.5	0.2	0.2		0.6	0.2	0.7	0.7	1	1	2	4	4	4
ENSDARG00000036426	zgc:103586	4	5	5	5	5	4	1	0.4	4	6	8	10	18	19	18	18	19	13
ENSDARG00000036427	slc3a2a	1	1	6	3	5	8	32	78	72	25	40	62	56	30	51	80	94	114
ENSDARG00000036428	si:dkey-264d12.4	10	13	7	7	3							3	3	2	4	10	11	12
ENSDARG00000036438	ndufv1	69	63	99	98	103	65	32	21	62	78	110	123	123	143	135	181	168	142
ENSDARG00000036442	atp11c	3	6	24	27	12	3	1	2	7	6	7	7	7	8	6	9	10	9
ENSDARG00000036445	serpinh2	1	2	5	3	3	0.6	0.3	0.1	3	2	3	4	4	2	3	4	3	2
ENSDARG00000036446	PRKAR2B						0.6	0.6	1	0.1	0.3	0.7	1	3	6	15	18	15	16
ENSDARG00000036456	anxa4	2	2	20	16	16	7	3	1	11	23	36	61	72	50	76	136	142	159
ENSDARG00000036457	cacng6a									1	3	5	6	8	9	10	12	14	17
ENSDARG00000036460	tmtops3a							0.4		0.4	0.8								0.5
ENSDARG00000036462	rab11fip1b	101	89	49	34	14	5	4	2	4	6	8	11	12	11	11	17	17	15
ENSDARG00000036463	ENSDARG00000036463				4			1		0.8	2	7	7	4	4	9	25	34	38
ENSDARG00000036471	dand5									5	22	4							
ENSDARG00000036473	snapc2	2	3	16	25	7	2	3	4	5	7	7	5	6	6	5	6	6	4
ENSDARG00000036479	si:dkeyp-80c12.4			0.4	0.3									0.4				0.7	
ENSDARG00000036481	tcn2	4	8	15	16	14	7	4	4	6	5	10	28	33	11	50	57	81	58
ENSDARG00000036482	hexim1	21	53	141	94	106	123	150	188	124	121	103	93	82	81	71	66	65	50
ENSDARG00000036483	c1ql3b										0.5				1	0.6	1	2	1
ENSDARG00000036489	zgc:112356	147	211	266	269	272	259	197	133	88	94	90	75	78	99	77	61	53	50
ENSDARG00000036493	si:ch73-174h16.4	6	17	86	80	34	11	9	10	8	8	7	4	3	5	4	6	5	6
ENSDARG00000036494	gstcd	20	30	38	35	41	19	6	2	4	4	4	5	3	3	2	2	4	4
ENSDARG00000036499	zgc:162171				0.6	0.7	3	4	8	3	2	2	2	1	0.7	1	3	0.8	1
ENSDARG00000036500	fam122b	26	33	147	178	56	32	27	29	26	23	23	17	19	27	22	17	18	17
ENSDARG00000036501	rab39bb									1	2	4	3	5	7	11	12	12	11
ENSDARG00000036505	syt4					0.4					1	4	5	8	16	26	39	41	45
ENSDARG00000036510	ccnt2b	68	148	345	360	358	294	234	222	165	135	119	89	67	78	50	37	32	32
ENSDARG00000036541	rhbdf1a	0.3	0.9	46	45	21	4	2	3	7	11	19	23	20	20	19	20	19	15
ENSDARG00000036542	pknox1.2	0.1	0.2	1	1	0.3	0.1	0.1	0.5	2	2	3	5	7	12	12	11	12	10
ENSDARG00000036545	tmprss3b															0.5			0.7
ENSDARG00000036546	pdxkb	1	3	11	11	9	4	4	0.6	0.6	1	2	4	2	1	3	5	6	3
ENSDARG00000036548	s1pr2		1	7	10	6	13	20	31	24	16	16	14	15	15	16	19	18	14
ENSDARG00000036549	agpat3	2	5	24	23	24	15	11	12	27	24	25	22	23	30	33	78	87	70
ENSDARG00000036558	col18a1a	2	2	7	5	5	3	4	3	111	104	123	135	124	100	107	99	88	59
ENSDARG00000036560	gpr185b															2	2	4	3
ENSDARG00000036567	aanat1	1	0.8	2	1	3	2	2	1				0.8	1			2	4	4
ENSDARG00000036569	bach2a	5	5	10	11	5	2	0.6		0.7	0.6	1	1	0.9	0.9	0.6	1	1	2
ENSDARG00000036571	sema3e	1	4	48	58	31	8	4	3	1	1	2	6	6	6	8	10	11	9
ENSDARG00000036575	si:ch73-71d17.2	0.4	3	4	5	2	0.1		0.3	1	1	1	1	1	2	2	2	3	4
ENSDARG00000036577	atp6v0cb		0.5	2	1	1	13	21	34	23	16	25	36	53	93	143	410	337	303
ENSDARG00000036584	st8sia5										0.4	1	3	4	9	13	18	24	24
ENSDARG00000036587	cbr1	5	5	16	18	14	8	3	0.9	0.4	0.9	2	1	1	1	1	3	3	4
ENSDARG00000036588	mhc1zba	2	3	5	3	5	6	7	11	16	15	17	14	11	9	12	23	37	50
ENSDARG00000036592	setd4	103	114	208	205	55	9	11	12	18	19	15	10	8	13	7	8	6	6
ENSDARG00000036593	kdm2ba	1	4	9	24	19	24	29	22	21	16	19	21	17	23	20	19	20	23
ENSDARG00000036613	tab1	13	41	39	33	30	15	21	34	44	43	45	47	48	36	42	34	43	55
ENSDARG00000036616	gpr182					0.5				2	3	9	14	11	8	9	8	10	6
ENSDARG00000036619	mgat3b								0.5	2	2	2	4	5	5	5	10	11	11
ENSDARG00000036625	polr2f	18	29	49	43	58	125	137	154	119	121	93	80	68	62	56	45	39	39
ENSDARG00000036626	sema6ba		0.4	2	2	0.7	0.2			0.5	0.6	0.8	1	1	0.9	1	1	3	3
ENSDARG00000036628	cd74b										0.9	0.5						1	2
ENSDARG00000036629	rps14	1436	1092	500	616	744	1199	1139	1443	2544	3637	3140	3066	3117	2932	2695	2028	2086	2396
ENSDARG00000036630	plp2		1	5	8	10	11	3	13	112	90	123	93	107	81	87	62	65	49
ENSDARG00000036636	ebpl	0.8	4	19	19	5	0.9			0.9	0.8	2	2	2	2	0.9	3	10	4
ENSDARG00000036637	arl11					2	1	2	2	6	5	6	5	6	3	4	3	4	4
ENSDARG00000036645	rcbtb1	92	75	44	34	12	4	3	4	7	7	7	5	6	5	4	6	7	7
ENSDARG00000036650	cdadc1	0.6	2	3	3	2	0.6	0.5	1	1	2	3	2	3	3	2	6	8	7
ENSDARG00000036658	cab39l	152	139	151	160	123	48	26	26	51	49	57	54	47	57	58	59	56	53
ENSDARG00000036670	aplnrb				2	68	95	116	99	35	24	20	14	11	9	14	12	12	10
ENSDARG00000036671	tnni4b.2											2	10	26	34	47	42	36	33
ENSDARG00000036675	hnrnpa1b	1044	1052	713	742	1082	1556	1762	1418	800	571	589	475	404	365	265	189	158	111
ENSDARG00000036678	trmt10a	16	52	67	58	16	8	6	9	23	19	17	14	9	12	7	6	5	4
ENSDARG00000036684	ndufa7	55	26	12	10	6	17	18	39	55	66	53	75	87	89	104	154	135	95
ENSDARG00000036685	ccnt2a	25	38	50	44	39	32	31	37	45	49	51	28	26	40	27	25	28	23
ENSDARG00000036687	bcl9	18	29	148	126	96	64	63	68	63	47	52	53	49	51	41	26	25	22
ENSDARG00000036695	calcoco1a	2	2	4	3	1	0.5	0.9	1	6	6	7	7	7	8	11	19	31	38
ENSDARG00000036698	znf865	79	84	107	115	96	42	42	52	50	46	47	40	38	47	39	28	25	25
ENSDARG00000036700	si:ch211-114n24.6	2	4	43	4	69	135	214	177	81	248	146	146	113	185	115	63	68	34
ENSDARG00000036704	tmem18	0.9	2	12	11	12	19	22	29	31	36	30	30	26	26	27	32	33	31
ENSDARG00000036721	tomm40l	5	9	7	4	4	7	12	19	59	59	63	48	41	46	33	37	22	21
ENSDARG00000036722	slc9a3.2		0.3		0.3				0.3		0.3		0.3	0.3		0.6	1	2	3
ENSDARG00000036754	hmgn3	2	4	3	5	13	67	82	129	223	266	263	236	228	218	239	287	260	308
ENSDARG00000036755	prmt9	2	7	30	25	16	8	9	7	7	6	6	6	5	5	4	3	3	3
ENSDARG00000036764	hax1	45	52	57	53	18	12	17	18	22	23	26	16	18	16	23	31	30	29
ENSDARG00000036767	urgcp																1	6	4
ENSDARG00000036772	pygo2	6	16	75	71	48	29	36	43	35	34	32	27	23	27	21	15	12	10
ENSDARG00000036773	s100s			2	2	9	16	13	5	3	5	4	3	4	6	9	19	25	26
ENSDARG00000036774	rgs12b	2	3	9	10	22	28	25	19	10	10	11	10	10	12	9	9	9	10
ENSDARG00000036775	dtd2	7	9	10	12	5	3	4	2	5	4	6	5	4	3	8	11	6	4
ENSDARG00000036776	aldh8a1	3	3	5	4	3	2	1		2	1	5	17	10	3	7	27	26	16
ENSDARG00000036778	hbs1l	64	59	88	83	32	19	15	20	50	43	49	40	41	38	28	23	27	28
ENSDARG00000036781	si:dkey-170l10.1	7	17	19	21	11	8	12	15	19	15	13	9	6	7	4	2	3	2
ENSDARG00000036784	commd7	87	75	42	32	24	33	27	42	25	19	24	30	27	30	33	28	27	25
ENSDARG00000036785	si:ch211-226m16.2	4	4	8	10	6	3	3	10	35	22	25	24	16	10	12	16	17	18
ENSDARG00000036791	dnmt3bb.1	9	10	8	34	10	11	17	47	19	21	24	25	18	20	15	14	12	10
ENSDARG00000036793	ttll5	0.5	0.7	6	7	5	4	0.9	0.9	2	1	2	1	1	1	1	1	1	1
ENSDARG00000036809	si:ch211-106j24.1										0.1	0.6	1	4	5	8	11	10	9
ENSDARG00000036811	ifrd2	16	23	46	53	28	18	28	56	91	73	77	77	49	52	35	36	35	25
ENSDARG00000036816	pou2f2a	3	5	9	14	9	3	2	0.5	4	6	6	7	35	97	42	13	11	10
ENSDARG00000036818	hyal3	2	0.5	5	2	1	0.6	0.5	1	1	2	1	1	0.7	0.5	1	0.5	0.6	0.6
ENSDARG00000036820	mgll	1	0.2	0.5		16	102	114	132	68	23	40	32	25	20	18	43	51	45
ENSDARG00000036826	ankrd52a	9	16	41	39	16	5	3	3	3	2	3	3	3	4	3	4	4	4
ENSDARG00000036830	krt91	0.6	0.5	0.5		1	8	13	18	20	28	31	104	181	237	786	1101	1189	2026
ENSDARG00000036831	rnf41	45	40	26	32	25	18	16	19	20	16	17	14	13	16	15	18	17	16
ENSDARG00000036832	cyt1l	1	0.9	1	0.5	3	59	139	240	379	514	975	1682	1755	1065	1610	804	395	549
ENSDARG00000036833	upp2																	4	19
ENSDARG00000036834	krt92	0.3	0.7	0.3	0.4	38	365	575	763	631	427	540	461	175	63	36	181	359	462
ENSDARG00000036840	krt15							0.5				1	7	16	28	93	202	319	429
ENSDARG00000036844	tsen54	16	19	112	71	78	39	39	26	23	20	18	14	12	11	9	8	11	15
ENSDARG00000036846	anks4b	4	7	8	11	4	2	4	2	1	1	1	0.9	0.8	1	2	11	19	17
ENSDARG00000036848	slc43a2a	0.7	0.2	2	2	1	3	2	1	32	11	26	39	46	24	49	38	44	50
ENSDARG00000036852	DXO	24	34	57	67	30	11	16	14	9	4	7	5	5	6	4	5	3	6
ENSDARG00000036855	plagx	2	6	24	19	17	22	24	24	34	47	63	60	64	64	37	30	30	26
ENSDARG00000036863	MYO1D	5	8	20	18	17	9	4	1	4	3	3	2	2	2	2	8	12	8
ENSDARG00000036864	slc34a2b	2	5	15	8	15	35	45	30	26	23	18	13	12	13	6	17	23	18
ENSDARG00000036865	slc2a12	0.5	1	15	16	53	156	200	140	4	2	4	5	4	3	3	7	10	11
ENSDARG00000036868	tbpl1	306	251	116	117	67	62	72	69	65	51	36	25	20	26	19	16	13	10
ENSDARG00000036869	tcf21		0.8	2	0.4	0.3				0.9	0.9	1	1	0.9	1	2	1	1	0.6
ENSDARG00000036870	arih1l	24	37	65	71	54	21	14	13	11	9	11	7	7	10	8	10	11	10
ENSDARG00000036875	rps12	694	579	225	243	353	943	891	1304	2392	3799	2803	2580	2967	2846	2710	1972	2031	2275
ENSDARG00000036876	zgc:153284	4	3		2	1	3	3	6	9	14	16	28	29	22	27	19	20	11
ENSDARG00000036878	sh3bgrl2					0.4	2	1		6	1	0.8	1	2	4	4	23	21	20
ENSDARG00000036888	zgc:153935	14	27	18	11	4	11	14	17	18	18	16	14	13	15	12	13	11	12
ENSDARG00000036893	f13a1b		2	9	8	4	4	3	3	7	5	12	16	10	6	5	6	9	7
ENSDARG00000036894	aimp1b		0.6	1	0.7	1	1	0.6	0.6	2	12	43	87	84	92	77	51	52	66
ENSDARG00000036895	ENSDARG00000036895	3	5	42	54	61	63	67	39	16	26	22	23	30	28	26	39	49	70
ENSDARG00000036897	sgms2b		1	8	12	7	5	6	8	3	1	2	3	1	0.7	2	1	3	1
ENSDARG00000036903	irak1bp1	5	5	26	8	14	14	20	27	32	29	22	10	9	8	8	5	4	6
ENSDARG00000036911	scamp1	9	12	19	26	17	10	8	7	10	7	8	9	8	11	15	17	15	14
ENSDARG00000036912	edn1									0.6	4	4	5	4	2	4	7	8	8
ENSDARG00000036913	st6galnac6													0.6	1	1	2	3	4
ENSDARG00000036915	dolpp1	92	68	47	54	35	13	6	9	11	7	8	6	6	9	8	9	8	8
ENSDARG00000036924	tatdn1		0.9	11	14	12	8	4	6	15	17	21	20	13	8	6	10	13	16
ENSDARG00000036929	rnf139	8	12	35	31	27	19	17	18	21	17	18	13	15	19	16	18	16	12
ENSDARG00000036930	tbx18									2	6	11	7	4	6	5	5	4	4
ENSDARG00000036940	ctss1	0.5		0.6	0.4									0.4		0.5	1	1	1
ENSDARG00000036942	gpd1c					0.5	0.9	3	11	24	15	25	51	42	26	36	37	55	63
ENSDARG00000036943	golph3l	0.2	0.3	3	4	2	10	10	8	7	6	7	11	11	7	9	10	11	10
ENSDARG00000036944	ensaa				2	4	2	2	4	2		4	3	5	8	10	19	33	40
ENSDARG00000036952	zgc:198371										0.4	0.9	1	0.9	2	4	5	4	5
ENSDARG00000036956	asxl1	141	159	132	111	92	96	99	95	68	55	57	46	42	48	39	25	26	25
ENSDARG00000036965	rnf24			0.4	0.3	0.5	2	3	7	9	7	8	6	6	10	13	14	16	18
ENSDARG00000036966	hsd3b7	11	19	15	23	4	0.5	0.1		0.8	1	2	3	3	4	4	8	13	14
ENSDARG00000036967	smox	6	5	14	13	20	15	11	6	15	13	16	20	21	23	32	60	45	38
ENSDARG00000036968	si:ch1073-416d2.3					2	3	3	4	12	11	5	4	3	5	3	4	4	5
ENSDARG00000036974	ripply3			3	8	2	1			4	6	7	7	3	2				
ENSDARG00000036985	plxnb2b	0.1	8	9	4	7	3	3	0.6	0.6	0.5	0.6	0.5	0.9	0.8	0.8	1	2	2
ENSDARG00000036987	has2					71	57	43	17	18	15	12	5	2	2	2	4	2	1
ENSDARG00000036990	dctd	24	40	56	72	53	32	15	15	34	35	34	31	23	14	11	7	8	8
ENSDARG00000036993	erbb3b	2	2	2	3	4	0.9	1		2	4	4	3	2	3	3	5	9	9
ENSDARG00000036994	tbc1d16	66	87	122	110	75	15	5	1	11	11	14	8	7	7	7	9	9	8
ENSDARG00000036995	lsm6	21	27	38	29	36	112	108	118	114	133	96	84	93	125	105	78	51	37
ENSDARG00000036998	arf3b			0.7		0.8	1	0.8	0.9			2	3	3	4	10	14	17	12
ENSDARG00000036999	DISP3										0.1	0.2	0.5	0.4	1	1	2	3	3
ENSDARG00000037000	fkbp11	1	2	0.6	0.6	1	2	5	12	26	18	22	27	15	7	8	7	17	15
ENSDARG00000037002	zgc:152968	7	11	28	20	9	2	0.7	0.2										
ENSDARG00000037008	bscl2	11	9	10	9	5	2	2	2	6	4	5	5	6	8	10	15	14	13
ENSDARG00000037009	banf1	305	418	403	510	539	818	734	731	603	626	547	483	409	379	238	196	161	105
ENSDARG00000037012	slc3a2b	0.4	0.4	2	3	75	418	680	654	25	13	13	19	27	31	66	207	190	256
ENSDARG00000037017	ube4b	50	40	103	91	93	87	79	68	61	53	56	52	45	53	42	36	34	31
ENSDARG00000037018	gab1	13	9	70	73	41	20	19	29	28	25	24	24	17	18	14	13	13	12
ENSDARG00000037020	kif1b	13	14	14	17	9	2	2	2	4	4	8	12	12	15	21	36	41	42
ENSDARG00000037030	casz1	0.5	0.6	2	2	0.5	0.3	0.3	0.4	2	4	16	27	18	18	14	21	20	19
ENSDARG00000037033	ptger2b								0.9	0.4			0.5		0.3		2	1	2
ENSDARG00000037038	psmc6	106	127	80	74	55	90	152	179	265	231	227	192	182	226	159	127	108	71
ENSDARG00000037040	cgrrf1	1	6	7	4	2	2	2	4	3	2	3	3	3	3	3	4	4	3
ENSDARG00000037042	ddhd1b	0.9	0.6	2	1	0.7	0.4	0.6	0.7	2	2	3	3	4	5	4	7	8	6
ENSDARG00000037046	rad51b	79	111	86	49	40	9	2	0.9	2	3	4	5	4	2	2	2	1	1
ENSDARG00000037057	gcdha	17	28	37	16	6	3	4	4	8	8	13	22	27	43	26	48	78	85
ENSDARG00000037059	slc44a2	0.3	0.5	2	2	1	0.8	0.8	2	9	10	16	19	16	15	22	24	22	23
ENSDARG00000037060	kmt2d	9	8	32	36	31	39	38	33	19	15	16	13	13	16	12	10	12	12
ENSDARG00000037061	aldh9a1b	12	13	41	41	41	36	25	14	35	29	34	43	35	18	21	22	19	12
ENSDARG00000037062	dhh				0.3		0.6	0.4	0.8	0.4		0.7			0.3		1	1	1
ENSDARG00000037064	galca	31	36	33	24	27	18	10	9	3	6	8	17	13	5	8	11	22	18
ENSDARG00000037066	lgals8a		1	5	9	5	2	2	1	0.6	0.4	0.6	1	2	1	2	5	5	7
ENSDARG00000037067	dnajc22																4	10	7
ENSDARG00000037068	ikzf4	5	8	25	32	8	2	0.7	0.4	1	0.7	1	1	0.8	2	2	3	3	4
ENSDARG00000037069	zdhhc14		0.5	12	7	4	2	3	6	9	5	7	4	2	3	3	4	4	5
ENSDARG00000037070	tmem242	3	7	10	13	15	6	7	5	16	20	18	19	14	17	18	16	16	9
ENSDARG00000037071	rps26	161	160	54	90	96	198	240	329	687	962	940	822	867	898	792	603	577	618
ENSDARG00000037073	si:dkey-60a16.1	1	3	36	39	16	11	13	19	12	15	14	10	9	12	9	6	5	5
ENSDARG00000037079	cfap36	4	13	31	29	34	36	58	76	81	76	57	39	33	48	37	28	35	35
ENSDARG00000037091	asah1a	21	37	86	70	38	20	33	56	5	1	3	4	5	7	9	9	12	12
ENSDARG00000037097	slc7a2					1	1	6	2	5	5	4	5	5	7	6	17	17	16
ENSDARG00000037099	irs2a	3	7	16	14	11	4	2	3	4	3	4	4	3	2	3	9	16	25
ENSDARG00000037100	ankrd10a	9	13	19	15	16	11	10	16	26	21	18	13	11	14	10	6	9	7
ENSDARG00000037101	mtmr7a	18	26	40	29	4	0.3	0.5	0.3	1	1	2	2	2	4	5	7	7	8
ENSDARG00000037108	pfdn6	12	26	18	14	26	82	96	135	164	161	124	108	99	109	81	74	57	42
ENSDARG00000037109	pwp2h	69	117	139	130	117	88	59	37	78	66	66	44	23	23	12	16	15	13
ENSDARG00000037116	cxcl12a		0.6	1		20	19	23	33	66	51	49	32	31	35	41	59	60	65
ENSDARG00000037121	mat2ab	4	3	5	0.3	1	5	6	7	27	16	18	10	9	7	3	4	12	23
ENSDARG00000037122	TENM2	4	3	5	5	2	0.3	0.1			0.2	0.7	1	1	2	4	10	10	10
ENSDARG00000037140	pfkfb1	2	18	92	94	72	28	27	38	42	15	12	8	5	7	5	7	11	18
ENSDARG00000037142	C14H4orf47	0.7	1	1	2	0.8	0.4		0.1	0.2	0.2	0.4	0.3	0.2	0.1	0.1	0.4	0.3	0.3
ENSDARG00000037144	cpb2									0.5		2	11	12	3	13	9	12	9
ENSDARG00000037145	slc8a4b										0.1					0.5	2	3	3
ENSDARG00000037153	atp6ap1b	0.9	1	9	10	7	18	23	40	36	31	43	71	54	38	38	42	45	32
ENSDARG00000037154	hivep3b	4	4	25	24	3	0.8	0.6	0.8	0.8	0.8	1	2	2	2	2	5	6	6
ENSDARG00000037155	si:dkey-78k11.9																		0.9
ENSDARG00000037158	rcc1	1460	1307	929	875	919	827	541	170	74	67	57	52	36	36	21	18	15	9
ENSDARG00000037159	oprd1b											0.3					1	2	2
ENSDARG00000037172	ddrgk1	10	10	27	44	21	16	18	28	26	23	28	18	22	21	16	18	21	19
ENSDARG00000037174	nek12									2	2	3	2	2	4	2	0.8	2	2
ENSDARG00000037176	ggh	10	9	22	27	16	3	3	7	3	3	5	6	5	4	7	10	12	12
ENSDARG00000037177	zc3h13	102	105	159	131	144	102	86	79	87	67	61	47	40	49	31	24	19	19
ENSDARG00000037178	zic2b	0.3	0.4	2	3	417	801	588	440	229	141	112	71	53	41	14	8	7	7
ENSDARG00000037182	ENSDARG00000037182	22	46	25	18	31	43	50	38	32	28	25	17	12	14	9	10	9	10
ENSDARG00000037186	tpbgb	2	4	7	9	5	4	6	6	11	10	14	14	9	9	9	10	10	9
ENSDARG00000037188	rpa2	3	7	58	66	73	101	92	119	191	210	198	217	143	125	73	48	54	28
ENSDARG00000037190	ENSDARG00000037190					0.6	0.2	0.5	0.6			0.5	6	6	4	4	3	4	3
ENSDARG00000037191	ttr																13	69	81
ENSDARG00000037192	zgc:113364			6	3	2		1	0.8	3	4	4	2	2	2	3	2	2	2
ENSDARG00000037195	tshr									0.6		0.5	0.4		0.2	0.3	0.4	0.2	0.7
ENSDARG00000037196	arid5b		0.4	1	0.1			0.5	3	2	4	6	8	8	10	11	15	17	16
ENSDARG00000037199	C9H2orf76	126	158	92	93	86	34	24	24	22	17	22	11	10	13	10	13	13	11
ENSDARG00000037203	ENSDARG00000037203		0.5	2	3	5	3	5	6	15	16	19	13	14	15	14	16	12	13
ENSDARG00000037229	denr	32	70	161	184	194	192	144	124	249	271	235	176	134	164	109	90	83	77
ENSDARG00000037238	smad5	650	562	465	384	397	237	242	179	98	77	73	68	52	50	41	29	26	19
ENSDARG00000037244	gpr137	4	3	3	4	9	46	44	31	15	7	8	7	4	1	2	2	3	3
ENSDARG00000037245	trmo	3	4	14	13	8	6	2	2	3	2	3	2	1	2	1	2	2	4
ENSDARG00000037256	si:ch211-145b13.5													0.2		0.6	3	3	3
ENSDARG00000037259	ndufb6	203	162	78	87	52	57	60	68	70	75	99	115	128	112	130	155	152	94
ENSDARG00000037260	toporsa	37	47	41	41	28	17	16	15	13	11	11	8	7	8	5	5	6	5
