		Gene_ID	Gene_Name	zygote	cleavage_2-cell	blastula_128-cell	blastula_1k-cell	blastula_dome	gastrula_50%-epiboly	gastrula_shield	gastrula_75%-epiboly	segmentation_1-4_somites	segmentation_14-19_somites	segmentation_20-25_somites	pharyngula_prim-5	pharyngula_prim-15	pharyngula_prim-25	hatching_long-pec	larval_protruding_mouth	larval_day_4	larval_day_5
Ion_transporters	slc22a7b.3	ENSDARG00000062182	slc22a7b.3																0.4	4	5
Ion_transporters	slc30a10	ENSDARG00000103983	slc30a10	0.4	0.9	4	3	2	1	0.4		0.7	0.7	2	2	2	3	2	6	11	13
Ion_transporters	slc30a1a	ENSDARG00000005463	slc30a1a	3	7	10	7	25	62	87	69	35	23	28	22	19	22	22	29	40	29
Ion_transporters	slc30a1b	ENSDARG00000053896	slc30a1b			4	5	3	4	18	55	20	5	14	21	7	4	6	5	4	3
Ion_transporters	slc30a2	ENSDARG00000021305	slc30a2													1	2	3	1	2	2
Ion_transporters	slc30a4	ENSDARG00000007180	slc30a4	98	105	71	57	32	6	2	3	8	10	12	13	13	12	12	20	27	28
Ion_transporters	slc30a5	ENSDARG00000051921	slc30a5	9	16	43	47	24	15	15	21	28	27	28	24	23	24	23	24	24	17
Ion_transporters	slc30a6	ENSDARG00000077368	slc30a6	17	22	29	23	29	27	22	26	22	20	18	19	13	15	15	13	9	16
Ion_transporters	slc30a7																				
Ion_transporters	slc30a7	ENSDARG00000019998	slc30a7	24	42	125	119	131	121	105	93	93	77	78	62	48	46	41	40	34	27
Ion_transporters	slc30a8	ENSDARG00000100917	slc30a8					0.7	16	17	17	6	2	4	4	4	3	4	3	3	0.8
Ion_transporters	slc30a9	ENSDARG00000057272	slc30a9	12	32	65	87	23	6	7	7	14	16	19	19	18	26	23	30	25	18
Ion_transporters	slc31a1																				
Ion_transporters	slc31a1	ENSDARG00000013961	slc31a1	15	24	38	51	39	38	52	79	54	27	31	22	16	15	15	28	31	22
Ion_transporters	slc31a2	ENSDARG00000076092	slc31a2	8	16	18	19	16	4	2	5	9	7	9	7	6	4	5	4	7	7
Ion_transporters	slc39a1																				
Ion_transporters	slc39a1	ENSDARG00000058257	slc39a1	52	45	43	33	32	76	120	123	11	4	6	7	7	4	6	7	9	8
Ion_transporters	slc39a10	ENSDARG00000005823	slc39a10	14	11	16	25	15	21	21	26	24	20	20	17	15	15	13	15	17	15
Ion_transporters	slc39a13	ENSDARG00000000442	slc39a13	16	23	94	120	67	37	24	23	27	22	26	22	20	16	17	18	14	10
Ion_transporters	slc39a14	ENSDARG00000102387	slc39a14	4	8	23	21	17	4	2	2	7	6	5	4	5	5	3	2	4	4
Ion_transporters	slc39a3	ENSDARG00000101434	ENSDARG00000101434									1	2	2	2	3	2	2	3	2	4
Ion_transporters	slc39a4	ENSDARG00000059361	slc39a4	3	1	2						1		2					4	10	9
Ion_transporters	slc39a5	ENSDARG00000079525	slc39a5					0.8	71	120	141	14	7	14	31	27	4	17	4	0.7	
Ion_transporters	slc39a6	ENSDARG00000068143	slc39a6	3	8	140	131	132	61	31	55	88	64	53	42	30	31	21	22	19	17
Ion_transporters	slc39a7	ENSDARG00000104451	slc39a7	11	14	95	72	78	66	97	149	201	149	148	126	107	100	74	61	51	30
Ion_transporters	slc39a8	ENSDARG00000056757	slc39a8												0.1			0.5	5	9	5
Ion_transporters	slc39a9	ENSDARG00000070447	slc39a9	10	19	53	49	44	24	22	31	41	34	32	34	26	25	19	23	22	16
Ion_transporters	slc47a1	ENSDARG00000046012	slc47a1	0.2				0.2	0.8	3	13	18	9	10	13	7	2	3	3	6	6
Ion_transporters	slc47a2.1	ENSDARG00000060051	slc47a2.1		0.2		0.1	0.2	0.3	0.3	0.4	0.5	0.2	0.1	0.6	0.6	0.6	0.6	3	3	3
Ion_transporters	slc47a2.2	ENSDARG00000074136	slc47a2.2					2	2	0.7	0.3	0.9	1	1	0.4						
Ion_transporters	slc47a3	ENSDARG00000074561	slc47a3	0.8	4	5	4	3	1				0.3	0.3					3	5	8
Ion_transporters	slc47a4	ENSDARG00000079340	slc47a4			0.8	1	0.9	19	38	31	8	2	2	3	1	0.8	1	5	6	8
Ion_transporters	slco1c1	ENSDARG00000016749	slco1c1	0.6	0.6	5	6	5	2	2	3	0.4	0.2	0.7	2	2	3	3	5	5	4
Ion_transporters	slco1d1	ENSDARG00000104108	slco1d1					2	32	44	40	7	3	6	8	9	4	9	35	43	48
Ion_transporters	slco1e1	ENSDARG00000100780	slco1e1						0.3										2	0.8	0.9
Ion_transporters	slco1f1																				
Ion_transporters	slco1f2	ENSDARG00000101156	slco1f2						0.2				0.1	0.1							
Ion_transporters	slco1f3																				
Ion_transporters	slco1f4																				
Ion_transporters	slco2a1	ENSDARG00000061896	slco2a1	0.2				0.6	0.5	0.3		0.9	0.4	0.2	0.3	0.4	0.1	2	8	10	9
Ion_transporters	slco2b1	ENSDARG00000054609	slco2b1		0.2	0.4	0.3							0.1	2	2	1	3	8	13	14
Ion_transporters	slco3a1	ENSDARG00000018726	slco3a1			0.5		0.3	0.6		0.3	1	1	1	2	3	5	3	8	10	10
Ion_transporters	slco4a1	ENSDARG00000075948	slco4a1		0.2	1	1	0.9	0.7	0.4	0.4	0.3	0.6	0.7	0.4	0.5	1	1	5	5	5
Ion_transporters	slco5a1a	ENSDARG00000071685	slco5a1a			0.4	0.4	0.2	0.1		0.1	0.6	0.5	1	3	2	3	5	5	4	4
Ion_transporters	slco5a1b	ENSDARG00000086104	slco5a1a	17	16	19	19	4	1	3	4	4	4	5	6	8	16	17	26	27	27
Metal_response	HMOX1																				
Metal_response	cp	ENSDARG00000010312	cp									1	2	5	27	37	12	46	49	52	61
Metal_response	fth1a	ENSDARG00000015551	fth1a	57	179	1086	1483	2040	2358	2552	2287	1865	1982	1697	1426	1407	1262	1271	1307	1531	1537
Metal_response	fth1b	ENSDARG00000007975	fth1b	1	1		2	2	2	5	9	5	5	7	8	8	9	14	30	27	29
Metal_response	fthl27																				
Metal_response	fthl27	ENSDARG00000031776	fthl27	209	343	695	972	1011	1026	924	843	549	344	269	246	240	236	192	144	137	155
Metal_response	fthl28	ENSDARG00000076221	fthl28	46	65	116	164	170	131	146	110	75	56	31	40	44	50	51	60	71	58
Metal_response	fthl29																				
Metal_response	fthl30	ENSDARG00000077360	fthl30	13	19	37	53	60	52	48	40	27	18	11	13	13	15	8	10	13	14
Metal_response	fthl31	ENSDARG00000094210	fthl31	18	29	49	64	76	73	67	57	44	25	22	20	20	21	20	29	35	26
Metal_response	hmox1a	ENSDARG00000027529	hmox1a					0.6	6	7	10	13	6	19	73	53	12	21	18	18	15
Metal_response	hmox2a																				
Metal_response	hmox2a	ENSDARG00000055101	ENSDARG00000055101	0.9	1	13	16	17	24	27	29	28	27	28	20	16	18	13	19	24	32
Metal_response	hmox2b																				
Metal_response	hmox2b	ENSDARG00000078452	hmox2b	4	10	33	32	24	23	16	10	4	3	3	5	4	4	3	3	6	7
Metal_response	tfa	ENSDARG00000016771	tfa	0.3		0.6	0.5	0.8	35	88	258	315	133	366	1441	1094	148	598	858	798	628
Nuclear_receptors	ar																				
Nuclear_receptors	ar	ENSDARG00000067976	ar	0.7	1	2	2	3	2	2		2	0.4	0.7	2	2	1	1	2	3	4
Nuclear_receptors	esr1																				
Nuclear_receptors	esr1	ENSDARG00000004111	esr1																0.2	0.5	0.3
Nuclear_receptors	esr2a	ENSDARG00000016454	esr2a		0.5	2	2	1											0.6	0.3	0.6
Nuclear_receptors	esr2b	ENSDARG00000034181	esr2b						0.1			0.2	0.2	0.3	0.2	0.2	0.2	0.6	0.8	1	1
Nuclear_receptors	esrra	ENSDARG00000069266	esrra	2	6	15	13	12	6	5	19	13	8	11	11	9	10	8	17	16	11
Nuclear_receptors	esrrb	ENSDARG00000100847	esrrb	1	4	9	10	5	1				0.5	1	2	4	3	4	9	6	6
Nuclear_receptors	esrrd	ENSDARG00000015064	esrrd			2	0.9	1	1	1	0.6			1	3	2	1	3	3	5	5
Nuclear_receptors	esrrga	ENSDARG00000004861	esrrga	0.5	0.4	2	2	0.3	5	6	6	6	5	5	5	5	8	22	40	28	27
Nuclear_receptors	esrrgb	ENSDARG00000011696	esrrgb	1	4	3	9	2			0.5	0.4			1	0.4	0.4		1	2	0.6
Nuclear_receptors	hnf4a																				
Nuclear_receptors	hnf4a	ENSDARG00000021494	hnf4a					14	84	67	50	4	0.8	2	3	3	2	5	10	15	18
Nuclear_receptors	hnf4b	ENSDARG00000104742	hnf4b		0.6	2	2	2	4	22	43	26	8	9	17	9	3	8	6	9	7
Nuclear_receptors	hnf4g	ENSDARG00000071565	hnf4g				0.4	0.2				0.2	0.8	0.9	0.5	0.5		0.9	5	7	8
Nuclear_receptors	nr1h3	ENSDARG00000098439	nr1h3	4	7	22	26	14	2	3	6	9	8	10	10	10	13	13	14	15	18
Nuclear_receptors	nr1h4	ENSDARG00000057741	nr1h4	2	2	1	0.9											0.8	7	9	9
Nuclear_receptors	nr1h5																				
Nuclear_receptors	nr1h5	ENSDARG00000031046	nr1h5									0.4	1	1	1	2	0.6	0.9	2	5	4
Nuclear_receptors	nr1i2	ENSDARG00000029766	nr1i2			0.4	0.5	0.7	0.6	1	0.7	1	2	2	3	4	2	4	7	9	10
Nuclear_receptors	nr3c1																				
Nuclear_receptors	nr3c1																				
Nuclear_receptors	nr3c1	ENSDARG00000025032	nr3c1	6	7	32	32	6	3	6	9	14	12	17	24	25	22	23	29	34	36
Nuclear_receptors	nr3c2																				
Nuclear_receptors	nr3c2	ENSDARG00000102082	nr3c2										0.3	0.3	0.3	0.4	0.6	0.7	2	3	5
Nuclear_receptors	pgr	ENSDARG00000035966	pgr												0.6						
Nuclear_receptors	pparaa	ENSDARG00000031777	pparaa		0.1	1	2	1	0.1			0.1	0.6	1	2	3	3	3	4	6	10
Nuclear_receptors	pparab	ENSDARG00000054323	pparab	2	3	4	6	7	3	1					0.4	1		0.5	1	4	3
Nuclear_receptors	pparda	ENSDARG00000044525	pparda	2	4	8	9	7	2	0.8	0.6	0.4	0.3	0.9	2	2	3	4	6	6	6
Nuclear_receptors	ppardb	ENSDARG00000009473	ppardb	0.9	5	9	12	6	7	10	11	17	16	19	20	15	17	17	18	15	14
Nuclear_receptors	pparg	ENSDARG00000031848	pparg	8	9	18	11	5	3	2	0.5	1	1	1	1	1	0.6	2	6	18	22
Nuclear_receptors	ppargc1a	ENSDARG00000067829	ppargc1a		0.2	0.3					0.4	2	2	3	5	3	3	4	9	9	8
Nuclear_receptors	ppargc1b	ENSDARG00000101569	ppargc1b		0.1	1	1	0.4	0.1	0.1	1	3	6	13	15	10	11	10	21	18	16
Nuclear_receptors	raraa	ENSDARG00000056783	raraa	0.8	2	3	4	3	18	22	25	61	37	36	34	29	21	22	22	20	19
Nuclear_receptors	rarab																				
Nuclear_receptors	rarab	ENSDARG00000034893	rarab	42	68	168	152	104	54	68	78	58	38	36	30	26	25	25	19	19	17
Nuclear_receptors	rarga	ENSDARG00000034117	rarga	4	5	14	14	6	2	3	13	59	36	31	35	36	42	48	47	45	38
Nuclear_receptors	rargb	ENSDARG00000054003	rargb		0.2	2	1	0.8	0.5	0.1	0.2	1	2	2	1	0.8	0.8	1	2	3	2
Nuclear_receptors	rxraa	ENSDARG00000057737	rxraa			0.2	0.3	0.1				5	10	14	12	8	7	7	15	18	17
Nuclear_receptors	rxrab	ENSDARG00000035127	rxrab		0.5	2	2	1					0.8	1	0.6		0.5	1	0.9	2	1
Nuclear_receptors	rxrba	ENSDARG00000078954	rxrba	31	42	72	66	67	73	62	72	41	23	26	22	21	25	24	22	24	23
Nuclear_receptors	rxrbb																				
Nuclear_receptors	rxrbb	ENSDARG00000002006	rxrbb	4	8	22	22	6	7	8	10	10	10	10	8	9	11	10	11	14	15
Nuclear_receptors	rxrgb	ENSDARG00000004697	rxrgb						0.9	7	15	8	7	6	6	7	6	15	18	17	19
Nuclear_receptors	thraa	ENSDARG00000000151	thraa	4	5	26	30	9	1	0.8	2	1	1	2	2	3	3	3	5	5	5
Nuclear_receptors	thrab	ENSDARG00000052654	thrab			2	3	0.8			0.4	0.9	0.9	0.9	0.8	1	2	2	8	8	7
Nuclear_receptors	thrb	ENSDARG00000021163	thrb	0.4	0.7	4	5	1	0.2			3	4	5	5	4	12	13	12	13	15
Nuclear_receptors	vdra	ENSDARG00000099483	vdra	3	3	9	16	8	3	2		0.8		0.6	0.9	1	0.8	1	2	4	3
Nuclear_receptors	vdrb																				
Nuclear_receptors	vdrb	ENSDARG00000070721	vdrb	4	6	8	9	9	7	4	3	2	3	4	3	5	4	4	7	10	13
Oxidative_stress	bach1a	ENSDARG00000062553	bach1a	0.3	2	17	13	6	2	0.9	0.9	2	2	3	2	3	2	2	3	3	4
Oxidative_stress	bach1b	ENSDARG00000002196	bach1b					0.3	1	4	8	8	5	10	8	6	5	6	8	9	10
Oxidative_stress	bach2a	ENSDARG00000036569	bach2a	5	5	10	11	5	2	0.6		0.7	0.6	1	1	0.9	0.9	0.6	1	1	2
Oxidative_stress	bach2b	ENSDARG00000004074	bach2b	0.5	1	3	2	0.5	0.3	0.2	0.9	2	2	4	7	8	13	19	10	11	10
Oxidative_stress	keap1a	ENSDARG00000016132	keap1a		0.3	6	4	3	2	1	2	7	6	10	11	10	8	9	8	10	12
Oxidative_stress	keap1b	ENSDARG00000074634	keap1b	5	11	24	25	27	33	47	58	40	36	35	29	27	31	19	17	19	22
Oxidative_stress	maff																				
Oxidative_stress	maff	ENSDARG00000028957	maff	7	6	9	6	19	34	39	44	29	25	26	23	28	27	36	51	51	57
Oxidative_stress	mafga	ENSDARG00000018109	mafga															3	3	3	3
Oxidative_stress	mafgb	ENSDARG00000100097	mafgb	2	4	8	7	4	0.6	0.5	0.9	1	1	2	2	2	3	3	3	3	3
Oxidative_stress	mafk	ENSDARG00000100947	mafk		0.6	5	5	1	2	2	2	1		1	2	1	1	2	4	3	4
Oxidative_stress	nfe2	ENSDARG00000020606	nfe2			0.9							0.4	0.8	2	3	2	2	1	2	1
Oxidative_stress	nfe2l1a																				
Oxidative_stress	nfe2l1a	ENSDARG00000030616	nfe2l1a	0.2		1		1	2	2	1	0.9	0.5	1	0.8	0.5	0.6	1	5	13	29
Oxidative_stress	nfe2l1b																				
Oxidative_stress	nfe2l1b	ENSDARG00000076533	nfe2l1b	0.9	1	2	2	2	2	4	7	14	13	14	12	11	12	9	9	10	9
Oxidative_stress	nfe2l2a	ENSDARG00000042824	nfe2l2a	0.7		0.4	0.8	0.8	0.1	0.1	0.8	2	2	4	8	13	12	23	52	63	75
Oxidative_stress	nfe2l2b	ENSDARG00000089697	nfe2l2b			1	0.7	1	0.5		0.3	1	2	2	1	2	2	3	5	6	5
Oxidative_stress	nfe2l3	ENSDARG00000019810	nfe2l3	17	18	60	62	28	52	51	66	81	80	85	72	61	74	45	23	21	13
Oxidative_stress	nfkb1	ENSDARG00000105261	nfkb1	6	11	26	16	12	5	2	3	3	2	2	4	2	3	2	2	3	2
Oxidative_stress	nfkb2																				
Oxidative_stress	nfkb2	ENSDARG00000038687	nfkb2	45	44	41	34	12	7	9	11	12	9	7	8	7	9	8	8	14	13
Phase_II_transferases	NAT16	ENSDARG00000076402	nat16l			0.3	0.3						0.2	0.2	0.2	0.4	0.4	0.9	1	3	2
Phase_II_transferases	aanat1	ENSDARG00000036567	aanat1	1	0.8	2	1	3	2	2	1				0.8	1			2	4	4
Phase_II_transferases	aanat2	ENSDARG00000079802	aanat2		3	8	4	10	4	2	3	4	3	2	2	0.7	2	4	3	3	4
Phase_II_transferases	gsta.1																				
Phase_II_transferases	gsta.1	ENSDARG00000090228	gsta.1		2	0.6		5	10	5	8	30	54	56	71	56	35	47	106	325	238
Phase_II_transferases	gsta.2																				
Phase_II_transferases	gsta.2	ENSDARG00000039832	gsta.2					2	2	0.7	1	7	7	11	30	28	10	24	24	66	46
Phase_II_transferases	gstk1	ENSDARG00000056510	gstk1						0.6	0.5	0.6	2	3	3	7	10	7	17	38	51	41
Phase_II_transferases	gstk2																				
Phase_II_transferases	gstk4	ENSDARG00000092052	gstk4																		0.5
Phase_II_transferases	gstk4	ENSDARG00000093119	gstk4									2	0.9								
Phase_II_transferases	gstm.1	ENSDARG00000042533	gstm.1	70	72	213	214	158	43	17	25	111	126	118	100	87	96	75	87	77	62
Phase_II_transferases	gstm.2	ENSDARG00000029473	gstm.2		2	6	10	7	2	0.6	1	5	1	5	3	3	5	2	4	3	4
Phase_II_transferases	gstm.3	ENSDARG00000088116	gstm.3	2	3	1	2	2	1	0.4	0.7	1	2	7	10	14	17	20	32	23	13
Phase_II_transferases	gstp1	ENSDARG00000104068	gstp1	266	808	388	504	210	72	26	23	103	125	154	221	336	404	614	660	838	435
Phase_II_transferases	gstp2	ENSDARG00000103019	gstp2																17	63	16
Phase_II_transferases	gstt1a																				
Phase_II_transferases	gstt1a	ENSDARG00000042428	gstt1a	1	1	1	0.6	1	2	1		1	4	8	27	40	28	61	111	119	100
Phase_II_transferases	gstt1b																				
Phase_II_transferases	gstt1b	ENSDARG00000017388	gstt1b	1	3	14	19	16	15	21	15	3	6	7	14	16	13	16	23	40	29
Phase_II_transferases	gstt2																				
Phase_II_transferases	gstt2	ENSDARG00000095464	gstt2				0.1	0.2	1	1	2	5	4	4	3	4	4	5	12	20	13
Phase_II_transferases	gstz1	ENSDARG00000027984	gstz1				0.7					4	6	5	8	8	8	11	19	35	35
Phase_II_transferases	mgst1.1																				
Phase_II_transferases	mgst1.1	ENSDARG00000032618	mgst1.1					0.6	4	7	8	9	9	11	14	19	12	12	13	15	15
Phase_II_transferases	mgst1.2																				
Phase_II_transferases	mgst1.2	ENSDARG00000022165	mgst1.2	1	0.4	2	4	0.8	11	21	30	27	23	23	28	28	16	15	18	38	35
Phase_II_transferases	mgst2	ENSDARG00000071345	mgst2	1	7	14	9	16	82	129	126	69	110	95	141	102	32	43	38	41	30
Phase_II_transferases	mgst3a	ENSDARG00000102744	mgst3a	2	14	10	17	10	10	7	10	29	39	45	78	84	63	68	93	110	89
Phase_II_transferases	mgst3b	ENSDARG00000033364	mgst3b	47	34	63	67	124	215	236	259	217	192	168	134	118	119	119	153	343	174
Phase_II_transferases	nat10	ENSDARG00000054259	nat10	27	20	89	75	70	56	74	103	116	81	76	48	30	28	16	16	16	17
Phase_II_transferases	nat14																				
Phase_II_transferases	nat15	ENSDARG00000061185	nat15	80	84	42	44	24	11	10	10	10	11	10	11	11	13	14	22	21	21
Phase_II_transferases	nat16	ENSDARG00000086222	nat16								0.6	5	8	15	12	13	17	15	17	15	15
Phase_II_transferases	nat8l																				
Phase_II_transferases	nat8l	ENSDARG00000077256	nat8l					0.3	2	3	19	42	47	52	39	48	63	53	56	55	59
Phase_II_transferases	nat9																				
Phase_II_transferases	nat9	ENSDARG00000071425	nat9	3	4	5	4	6	29	40	45	56	51	46	35	32	40	32	31	26	23
Phase_II_transferases	sult1st1	ENSDARG00000028275	sult1st1			0.4		0.3	0.3	0.2		1	3	6	19	30	21	33	26	27	13
Phase_II_transferases	sult1st2	ENSDARG00000041540	sult1st2																	12	13
Phase_II_transferases	sult1st3	ENSDARG00000018361	sult1st3	0.8	0.4														0.7	11	11
Phase_II_transferases	sult1st4	ENSDARG00000003181	sult1st4											1	5	7	3	12	6	4	6
Phase_II_transferases	sult1st5																				
Phase_II_transferases	sult1st5	ENSDARG00000003475	sult1st5													0.5	0.6		1	3	3
Phase_II_transferases	sult1st6	ENSDARG00000006811	sult1st6												0.4			1	11	38	32
Phase_II_transferases	sult1st7	ENSDARG00000079079	sult1st7															0.8		0.8	1
Phase_II_transferases	sult1st9																				
Phase_II_transferases	sult2st1	ENSDARG00000033170	sult2st1				0.7	0.6	1	1	4	31	38	46	49	40	25	38	44	29	15
Phase_II_transferases	sult2st2	ENSDARG00000103785	sult2st2						0.8			5	7	12	28	22	5	13	69	109	90
Phase_II_transferases	sult2st3	ENSDARG00000028367	sult2st3		0.9			3	1	0.4	2	2	1	2	0.8	2	2	2	4	5	5
Phase_II_transferases	sult3st1	ENSDARG00000009885	sult3st1	0.4	1	2	2	1	0.6			0.3	0.3							0.4	
Phase_II_transferases	sult3st2																				
Phase_II_transferases	sult3st2	ENSDARG00000093619	sult3st2												0.7				3	18	15
Phase_II_transferases	sult3st3																				
Phase_II_transferases	sult3st3	ENSDARG00000042920	sult3st3																4	10	6
Phase_II_transferases	sult3st4																				
Phase_II_transferases	sult3st4	ENSDARG00000040781	sult3st4															0.8	2	0.8	0.5
Phase_II_transferases	sult4a1	ENSDARG00000101967	sult4a1											0.3	1	4	4	11	25	33	40
Phase_II_transferases	sult5a1	ENSDARG00000007769	sult5a1							0.5									0.4	5	1
Phase_II_transferases	sult6b1	ENSDARG00000086826	sult6b1					215	497	696	606	62	29	45	45	41	31	36	55	171	196
Phase_II_transferases	ugt1a7	ENSDARG00000006220	ugt1a1	0.6	0.3	0.4	0.4	0.1				0.2	0.2	0.3	4	3	1	3	24	74	36
Phase_II_transferases	ugt1b1	ENSDARG00000097491	ugt1b1						1	2	1	4	7	10	16	11	7	14	18	13	8
Phase_II_transferases	ugt1b2	ENSDARG00000097231	ugt1b2						0.6										2	4	4
Phase_II_transferases	ugt1b3	ENSDARG00000097979	ugt1b3						1	0.5	0.6										
Phase_II_transferases	ugt1b4	ENSDARG00000097024	ugt1b4						1	0.6	0.5									0.5	
Phase_II_transferases	ugt1b5	ENSDARG00000089507	ugt1b5						4	6	14	17	12	15	20	14	10	14	18	15	9
Phase_II_transferases	ugt1b6p	ENSDARG00000103761	ugt1b6p						4	2	1										
Phase_II_transferases	ugt1b7	ENSDARG00000101176	ugt1b7						3	8	16	2		2	5	3		2	2	2	1
Phase_II_transferases	ugt2a1	ENSDARG00000051940	ugt2a4	10	14	11	9	4	2	1	1	0.8	0.4	0.7	0.8	0.6	0.5	0.7	10	22	16
Phase_II_transferases	ugt2a4																				
Phase_II_transferases	ugt2a5																				
Phase_II_transferases	ugt2a5	ENSDARG00000011537	ugt2a5	0.2	0.2	0.5	0.4	0.4	1	1	2	3	2	3	1	2	2	2	3	3	3
Phase_II_transferases	ugt2a6	ENSDARG00000039501	ugt2a6		1	1	0.6	0.5				1	1	2	2	3	1	2	2	4	3
Phase_II_transferases	ugt2a7																				
Phase_II_transferases	ugt2a7	ENSDARG00000091624	ugt2a7	0.3	0.1	0.3	0.1	0.1		0.1	0.3	1	0.6	0.8	1	1	0.7	1	8	13	9
Phase_II_transferases	ugt2a7	ENSDARG00000093043	ugt2a7																5	17	14
Phase_II_transferases	ugt2b3																				
Phase_II_transferases	ugt5a1	ENSDARG00000016479	ugt5a1																2	2	2
Phase_II_transferases	ugt5a2	ENSDARG00000093640	ugt5a2							0.3	0.6	0.6							0.6	2	1
Phase_II_transferases	ugt5b1	ENSDARG00000104995	ugt5b1	0.5					0.4	0.4	0.4	0.4	0.3	0.3	0.5		0.4	0.4	4	16	6
Phase_II_transferases	ugt5b2	ENSDARG00000101495	ugt5b2			1	0.8	0.3		0.6	1	0.4	0.8	0.8	2	2	2	3	4	8	5
Phase_II_transferases	ugt5b3	ENSDARG00000099276	ugt5b2																7	21	16
Phase_II_transferases	ugt5b4	ENSDARG00000091916	ugt5b4	0.3	0.3	0.3	0.2						0.2	0.2	0.2	0.5	0.3	0.6	13	37	28
Phase_II_transferases	ugt5b4	ENSDARG00000097397	ugt5a4							1	5	4	0.6	0.9	3					0.6	
Phase_II_transferases	ugt5b5	ENSDARG00000104203	ugt5b5																	0.8	
Phase_II_transferases	ugt5c1	ENSDARG00000061444	ugt5c1															0.3	0.4		0.7
Phase_II_transferases	ugt5c2	ENSDARG00000006372	ugt5c2																0.5	0.9	
Phase_II_transferases	ugt5c3	ENSDARG00000061439	ugt5c3	0.3	0.6	3	3				0.3	2	2	3	2	2	1	1	4	10	8
Phase_II_transferases	ugt5d1	ENSDARG00000002394	ugt5d1																8	17	7
Phase_II_transferases	ugt5e1	ENSDARG00000058048	ugt5e1									0.4	0.7	0.4	1	1	2	2	5	6	5
Phase_II_transferases	ugt5f1	ENSDARG00000054835	ugt5f1	4	5	18	12	5	5	4	5	2	2	2	2	2	1	2	3	4	5
Phase_II_transferases	ugt5g1																				
Phase_II_transferases	ugt5g1	ENSDARG00000032862	ugt5g1	2	3	10	12	8	2	0.6	1	7	2	4	7	6	2	4	5	6	6
Phase_II_transferases	ugt5g2																				
Phase_II_transferases	ugt5g2																				
Phase_II_transferases	ugt8																				
Phase_II_transferases	ugt8	ENSDARG00000037455	ugt8	0.7	0.8	0.8	0.9	0.8	0.8	1	4	4	4	6	6	5	4	6	13	15	12
Phase_I_oxygenases	adh5																				
Phase_I_oxygenases	adh5	ENSDARG00000080010	adh5	41	74	92	86	96	92	91	77	66	57	61	108	180	176	171	139	152	154
Phase_I_oxygenases	adh8a																				
Phase_I_oxygenases	adh8a	ENSDARG00000091211	adh8a			2	2	1	1	0.8										0.5	2
Phase_I_oxygenases	adh8b																				
Phase_I_oxygenases	adh8b	ENSDARG00000024278	adh8b	16	7	14	30	24	23	20	13	24	30	48	104	104	53	70	81	122	118
Phase_I_oxygenases	aldh16a1	ENSDARG00000037935	aldh16a1	42	30	58	48	28	6	2	1	3	4	5	11	12	12	9	16	20	15
Phase_I_oxygenases	aldh18a1	ENSDARG00000099579	aldh18a1	75	78	137	157	153	125	63	24	3	3	6	14	25	31	27	27	25	21
Phase_I_oxygenases	aldh1a2																				
Phase_I_oxygenases	aldh1a2	ENSDARG00000053493	aldh1a2						33	71	88	44	44	44	42	26	22	25	36	57	34
Phase_I_oxygenases	aldh1a3	ENSDARG00000076933	aldh1a3									1	7	5	5	5	7	5	5	5	5
Phase_I_oxygenases	aldh1l1																				
Phase_I_oxygenases	aldh1l1	ENSDARG00000077004	aldh1l1	4	16	21	30	20	14	7	9	8	4	8	15	24	16	28	46	58	52
Phase_I_oxygenases	aldh1l2	ENSDARG00000070230	aldh1l2	2	4	6	7	2	9	13	22	20	9	14	19	22	24	17	14	12	7
Phase_I_oxygenases	aldh2.1	ENSDARG00000089924	aldh2.1	1	2	7	6	4	5	5	4	6	6	14	39	40	22	31	17	16	14
Phase_I_oxygenases	aldh2.2	ENSDARG00000028087	aldh2.2	12	22	32	30	31	24	16	11	2	2	5	15	21	16	20	21	28	23
Phase_I_oxygenases	aldh3a1	ENSDARG00000074791	aldh3a1	3	5	8	7	9	3	0.7	0.2	1	1	0.8	1	1	2	1	2	4	5
Phase_I_oxygenases	aldh3a2a	ENSDARG00000028259	aldh3a2a	40	62	77	88	41	8	3	2	6	6	10	11	12	10	11	13	12	11
Phase_I_oxygenases	aldh3a2b	ENSDARG00000029381	aldh3a2b								0.8	4	2	3	4	4	2	4	6	19	13
Phase_I_oxygenases	aldh3b1	ENSDARG00000013839	aldh3b1	69	37	60	62	41	70	97	116	45	28	33	33	21	16	12	14	13	9
Phase_I_oxygenases	aldh3b2	ENSDARG00000035606	aldh3b2					0.6	0.7	0.6								1	3	2	1
Phase_I_oxygenases	aldh4a1	ENSDARG00000038207	aldh4a1	2	4	5	4	3	7	11	16	53	48	40	34	32	26	25	26	43	43
Phase_I_oxygenases	aldh5a1																				
Phase_I_oxygenases	aldh5a1	ENSDARG00000076544	aldh5a1	0.1	0.5	0.7	0.7	0.2	0.1		0.1	2	2	4	4	4	5	6	12	16	13
Phase_I_oxygenases	aldh6a1	ENSDARG00000053485	aldh6a1	4	16	62	74	86	79	62	45	35	35	67	106	130	125	119	197	297	355
Phase_I_oxygenases	aldh7a1	ENSDARG00000018426	aldh7a1	64	70	78	82	27	6	5	10	35	43	57	69	87	107	88	120	162	126
Phase_I_oxygenases	aldh8a1																				
